ID,symbol,name,currency,risk,category,url
15,LU0175074516:USD,Pictet-USD Short Mid-Term Bonds R,USD,2,Obrigações Curto Prazo Diversificado USD,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F0GBR04H6B
18,LU0659916679:USD,UBS (Lux) BS Glb S/T Flex $ USD P-acc,USD,3,Obrigações Globais USD Hedged,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000NAAO
19,IE00BD3B9479:EUR,Man GLG Glbl EM Dbt TR D H EUR Acc,EUR,5,Obrigações Emergentes Globais EUR Biased,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000X7XE
21,LU0072913022:USD,UBS (Lux) EF Greater China (USD) P,USD,6,Ações Grande China,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F0GBR04AOA
22,IE00BDRVT430:USD,Man GLG Innovation Eq Alt DN USD Acc,USD,4,Ações Long/Short Global,https://www.morningstar.es/es/funds/snapshot/snapshot.aspx?id=F00000YHKK
24,LU0599946893:EUR,DWS Concept Kaldemorgen USD LCH,USD,4,Mistos Flexíveis USD,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000MEJL
26,LU1433232003:USD,Pictet TR - Atlas HP USD,USD,3,Ações Long/Short Global,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000Y844
30,LU0348788117:USD,Allianz China A Shares A EUR,EUR,6,Ações China - A Shares,http://www.morningstar.pt/pt/fundscreener/default.aspx?lang=pt-PT
31,LU0468289250:EUR,BSF Emerging Mkts Shrt Dur Bd E2 EUR,EUR,5,Obrigações Emergentes Globais,https://www.morningstar.es/es/news/30432/esp%C3%ADa-de-fondos-deuda-emergente-a-corto-plazo.aspx
32,LU1229532970:EUR,Pictet TR - Agora P dy EUR,EUR,4,Alternativo Market Neutral - Ações EUR,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000WQOB
33,LU1071462615:EUR,Pictet TR - Agora P EUR,EUR,4,Alternativo Market Neutral - Ações EUR,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000TW5M
34,IE00BDFBKQ44:USD,Neuberger Berman Shrt DurEM DbtUSD A Acc,USD,3,Obrigações Emergentes Globais,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000ZJ5V
35,LU0140636845:USD,Schroder ISF Emerging Asia B Acc USD,USD,6,Ações Ásia ex Japão,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F0GBR04JV5
36,IE00BDFBKQ44:USD,Neuberger Berman Shrt DurEM DbtUSD A Inc,USD,3,Obrigações Emergentes Globais,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000ZJ5V
37,LU0140636845:USD,Schroder ISF Emerging Asia B Acc EUR,EUR,6,Ações Ásia ex Japão,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F0GBR04JV5
38,LU1460782227:EUR,HSBC GIF Global Bond Total Ret AC,USD,3,Obrigações Flexível Globais,https://www.morningstar.es/es/funds/snapshot/snapshot.aspx?id=F00000XWOS
41,LU1062842700:EUR,BGF China Bond E2 EUR,EUR,5,Obrigações China,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000TF6L
42,LU0546916452:USD,NN (L) EmMkts Dbt (LclCcy) X Cap USD,USD,4,Obrigações Emergentes Moeda Local,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000ME4O
43,LU0055114457:USD,Fidelity Indonesia A-Dis-USD,USD,6,Ações Indonésia,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F0GBR04D14
46,LU0712123271:USD,MS INVF Global Fixed Income Opps A,USD,3,Obrigações Flexível Globais,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000UP01
47,LU0712123271:USD,MS INVF Global Fixed Income Opps AX,USD,3,Obrigações Flexível Globais,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000UP01
48,LU0905234141:USD,Fidelity Asian Bond A-Acc-USD,USD,4,Obrigações Ásia,https://www.morningstar.pt/pt/fundscreener/default.aspx?LanguageId=en-ZA
49,LU0792749094:EUR,Allianz Renminbi Fixed Income A USD,USD,3,Obrigações RMB Local,https://www.morningstar.es/es/funds/snapshot/snapshot.aspx?id=F00000OYLD
50,IE00BLP5S460:EUR,JupiterMerian Glb Eq AbsRt L € H Acc,EUR,4,Alternativo Market Neutral - Ações EUR,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000TG3D
51,IE00B6116G19:USD,Man GLG Alpha Select Alt DLH EUR,EUR,5,Alternativo Market Neutral - Ações EUR,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000H5AR
54,LU0384381660:USD,MS INVF Global Infrastructure A,USD,6,Ações Sector Infra-estrutura,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000J3T6
55,LU0122380701:USD,BGF World Healthscience E2,USD,6,Ações Sector Saúde,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F0GBR04TVV
56,LU0122380701:USD,BGF World Healthscience E2 EUR,EUR,6,Ações Sector Saúde,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F0GBR04TVV
57,LU0076315455:EUR,Nordea 1 - European Covered Bd Op E EUR,EUR,3,Obrigações Corp. EUR,https://www.morningstar.es/es/funds/snapshot/snapshot.aspx?id=F0GBR04EFC
58,LU0228636659:EUR,NN (L) Health Care X Cap EUR,EUR,6,Ações Sector Saúde,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F0GBR063O8
59,LU0146259923:EUR,NN (L) Health Care X Cap USD,USD,6,Ações Sector Saúde,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F0GBR04IRU
60,LU1176912761:EUR,JPM Europe Eq Abs Alp D perf (acc) EUR,EUR,4,Alternativo Market Neutral - Ações EUR,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000VS1J
61,LU0784438805:EUR,BPI GIF Iberia R,EUR,6,Ações Espanha,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000PPW6
62,LU0455550201:USD,UBS(Lux) BS Glb Infl Lnkd$ P-acc,USD,4,Obrigações Globais Inflation Linked - USD Hedged,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F000005FLT
63,LU1555763082:EUR,JPM Aggregate Bond D (acc) USD,USD,3,Obrigações Globais USD Hedged,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000YMKH
64,LU0117841949:USD,JPM Greater China D (acc) USD,USD,6,Ações Grande China,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F0GBR04MY8
65,IE00B2R34X65:USD,PIMCO GIS Glb Bd Ex-US E USD Inc,USD,3,Obrigações Globais USD Hedged,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F000001V8W
66,LU0522352946:EUR,JPM Greater China D (acc) EUR,EUR,6,Ações Grande China,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000J5HZ
67,LU0115765678:EUR,Fidelity Iberia E-Acc-EUR,EUR,6,Ações Espanha,http://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=FOGBR05KLX
68,LU0532656005:USD,Capital Group EM Local Debt (LUX) B,USD,4,Obrigações Emergentes Moeda Local,https://www.morningstar.es/mobile/Article.aspx?Site=es&articleid=112692
69,LU0228659867:USD,Schroder ISF BRIC B Acc USD,USD,6,Ações BRIC,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F0GBR0636B
71,LU1670724373:EUR,M&G (Lux) Global Target Return A EUR Acc,EUR,4,Alternativo Trading Macro EUR,https://www.morningstar.pt/pt/fundscreener/default.aspx?LanguageId=en-ZA
73,LU0329760853:EUR,DWS Invest Global Infras NC,EUR,6,Ações Sector Infra-estrutura,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F000000RBH
74,LU0228659867:USD,Schroder ISF BRIC B Acc EUR,EUR,6,Ações BRIC,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F0GBR0636B
75,LU0370038597:EUR,NN (L) Alternative Beta X Cap EUR,EUR,4,Alternativo Multiestratégia USD,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F0000025BN
76,LU0370038670:USD,NN (L) Alternative Beta X Cap USD,USD,4,Alternativo Multiestratégia USD,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F0000025BO
77,LU0532656260:EUR,Capital Group EM Local Debt (LUX) B EUR,EUR,4,Obrigações Emergentes Moeda Local,https://www.morningstar.es/mobile/Article.aspx?Site=es&articleid=112692
78,PTVORDHM0002:EUR,Heed EuroBic Tesouraria A FIMA,EUR,2,Obrigações Ultra Curto Prazo EUR,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000NY2R
79,LU0854292488:USD,HSBC GIF Mgd Solu AsiaFocusCnsrv AC,USD,4,Mistos Ásia,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000PNI1
80,IE00B5ZW6Z28:EUR,PIMCO GIS Glb Bd E USD Acc,USD,3,Obrigações Globais USD Hedged,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F000003YGQ
81,LU1769942829:USD,DWS Invest CROCI US Dividends USD LD,USD,6,Ações EUA Cap. Grande Valor,https://www.morningstar.es/es/funds/snapshot/snapshot.aspx?id=F00001101G
84,LU1769942662:USD,DWS Invest CROCI US Dividends USD LC,USD,6,Ações EUA Cap. Grande Valor,https://www.morningstar.es/es/funds/snapshot/snapshot.aspx?id=F00001101E
85,PTIGAWHM0013:EUR,IMGA Euro Taxa Variável R FIMA,EUR,2,Obrigações Curto Prazo Diversificado EUR,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F000016ZW4
86,LU0706127809:EUR,UBS (Lux) BS Glb S/T Flex $ EUR H P-acc,EUR,3,Obrigações Globais EUR Hedge,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000NEXQ
87,LU0605512192:EUR,Fidelity US Dollar Bond A-Dis-USD,USD,3,Obrigações Diversificado USD,https://www.morningstar.pt/pt/fundscreener/default.aspx?LanguageId=en-ZA
88,LU1046545411:USD,GS Global Infras Eq Base Acc USD,USD,5,Ações Sector Infra-estrutura,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000T8CY
89,LU1512665842:EUR,GS Global Infras Eq Oth Ccy Acc EUR,EUR,5,Ações Sector Infra-estrutura,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000Y4ZF
90,LU0752071745:EUR,Vontobel Sust Em Mkts LC Bd B USD,USD,4,Obrigações Emergentes Moeda Local,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000NZ6N
91,LU1265360385:EUR,M&G (Lux) Glb Corp Bd A USD Acc,USD,4,Obrigações Corp. Globais - USD Hedged,https://www.morningstar.es/es/news/112896/cambios-en-las-carteras-de-las-eafis.aspx
92,ES0119489005:EUR,M&G (Lux) Glb Corp Bd A USD Inc,USD,4,Obrigações Corp. Globais - USD Hedged,https://www.morningstar.es/es/news/120867/concurso-carteras-de-las-eafis-resultados-de-enero.aspx
93,LU0752071745:EUR,Vontobel Sust Em Mkts LC Bd B EUR,EUR,4,Obrigações Emergentes Moeda Local,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000NZ6N
97,LU1486846774:USD,AB Short Duration High Yield AT USD,USD,4,Obrigações Alto Rend. Globais,https://www.morningstar.pt/pt/fundscreener/default.aspx?LanguageId=en-ZA
98,LU1044871900:USD,T. Rowe Price Asian Opp Eq A USD,USD,6,Ações Ásia ex Japão,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000TNLN
99,LU0232535426:EUR,AB Short Duration High Yield A2 USD,USD,4,Obrigações Alto Rend. Globais,https://www.morningstar.es/es/news/122079/concurso-carteras-de-las-eafis-resultados-de-febrero.aspx
100,PTYCXCLP0007:EUR,Caixagest Obrigações FIMAO,EUR,2,Obrigações Curto Prazo Diversificado EUR,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F0GBR04VK3
101,LU1496042869:EUR,Carmignac Pf Global Bond Inc A EUR,EUR,3,Obrigações Globais,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000YNLV
102,IE00B8HX1V50:USD,Neuberger Berman Strat Inc A USD Acc,USD,4,Obrigações Flexíveis USD,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000Q073
103,LU1206943596:EUR,Fidelity FAST Global E-ACC-EUR,EUR,6,Ações Global Cap. Flexível,https://www.morningstar.pt/pt/screener/fund.aspx
104,LU1496042869:EUR,Carmignac Pf Global Bond A EUR Acc,EUR,3,Obrigações Globais,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000YNLV
105,IE00B7BTH691:USD,Neuberger Berman Strat Inc A USD MD,USD,4,Obrigações Flexíveis USD,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000Q070
106,LU0562246883:USD,JPM Emerg Mkts Inv Grd Bd D (acc) USD,USD,4,Obrigações Emergentes Globais,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000ONDG
107,ES0159201013:EUR,March International Iberia A EUR,EUR,6,Ações Espanha,http://tools.morningstar.es/es/stockreport/default.aspx?tab=3&vw=story&SecurityToken=0P00007OUD%5D3%5D0%5DE0WWE%24%24ALL&Id=0P00007OUD&ClientFund=0&CurrencyId=EUR&story=LSE20180802070010_13740626
108,LU1670725347:USD,M&G (Lux) Optimal Income A H USD Acc,USD,4,Mistos Defensivos USD,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F000010L36
109,LU0552385295:USD,MS INVF Global Brands Eq Inc A,USD,5,Ações Global Cap. Grande Misto,https://www.morningstar.es/es/news/31278/%C2%BFqui%C3%A9n-lo-hizo-mejor-en-renta-variable-en-2011.aspx
110,IE00BH65QK91:EUR,Vanguard Glbl Sh-Tm Bd Idx Inv EURH Acc,EUR,2,Obrigações Globais EUR Hedge,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000T4PD
111,LU0836875178:EUR,M&G (Lux) Short Dtd Corp Bd A EUR Inc,EUR,2,Obrigações Corp. Curto Prazo EUR,https://www.morningstar.pt/pt/fundscreener/default.aspx?LanguageId=en-ZA
112,LU1670718052:USD,M&G (Lux) Short Dtd Corp Bd A EUR Acc,EUR,2,Obrigações Corp. Curto Prazo EUR,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F000010L4Y
113,LU0607983201:EUR,Nordea 1 - Alpha 7 MA Fd E EUR,EUR,4,Alternativo Multiestratégia EUR,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000O3UK
114,LU0494093627:USD,BGF ESG Multi-Asset E2 USD H,USD,4,Mistos Moderados USD,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000H64D
115,LU0823426720:USD,BNP Paribas China Eq N C,USD,6,Ações China,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F00000PXIE
116,LU0106253270:USD,Schroder ISF EM Dbt Abs Rt B Acc USD,USD,4,Obrigações Emergentes Moeda Local,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F0GBR04AE3
117,LU0080735201:USD,Schroder ISF EM Dbt Abs Rt B Dis USD Q,USD,4,Obrigações Emergentes Moeda Local,https://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F0GBR04ADX
120,LU0337786437:USD,MFS Meridian Prudent Wealth A1 USD,USD,4,Mistos Moderados USD,https://www.morningstar.pt/pt/news/210725/pr%C3%A9mios-morningstar-2021---os-melhores-fundos.aspx
121,LU0117844612:USD,JPM Asia Pacific Income D (acc) USD,USD,5,Mistos Ásia,http://www.morningstar.pt/pt/funds/snapshot/snapshot.aspx?id=F0GBR04MZU&tab=1
